resolution_m,gu_code,gu_name,cell_count,file,size_mb
100,11110,종로구,2562,100m/11110_종로구.geojson,5.13
100,11140,중구,1107,100m/11140_중구.geojson,2.24
100,11170,용산구,2325,100m/11170_용산구.geojson,4.61
100,11200,성동구,1792,100m/11200_성동구.geojson,3.58
100,11215,광진구,1812,100m/11215_광진구.geojson,3.59
100,11230,동대문구,1536,100m/11230_동대문구.geojson,3.09
100,11260,중랑구,1972,100m/11260_중랑구.geojson,3.96
100,11290,성북구,2653,100m/11290_성북구.geojson,5.33
100,11305,강북구,2528,100m/11305_강북구.geojson,5.0
100,11320,도봉구,2226,100m/11320_도봉구.geojson,4.44
100,11350,노원구,3744,100m/11350_노원구.geojson,7.47
100,11380,은평구,3169,100m/11380_은평구.geojson,6.34
100,11410,서대문구,1916,100m/11410_서대문구.geojson,3.87
100,11440,마포구,2568,100m/11440_마포구.geojson,5.1
100,11470,양천구,1931,100m/11470_양천구.geojson,3.94
100,11500,강서구,4382,100m/11500_강서구.geojson,8.78
100,11530,구로구,2211,100m/11530_구로구.geojson,4.48
100,11545,금천구,1424,100m/11545_금천구.geojson,2.86
100,11560,영등포구,2605,100m/11560_영등포구.geojson,5.23
100,11590,동작구,1773,100m/11590_동작구.geojson,3.58
100,11620,관악구,3130,100m/11620_관악구.geojson,6.22
100,11650,서초구,4963,100m/11650_서초구.geojson,9.81
100,11680,강남구,4170,100m/11680_강남구.geojson,8.3
100,11710,송파구,3577,100m/11710_송파구.geojson,7.16
100,11740,강동구,2596,100m/11740_강동구.geojson,5.19
250,11110,종로구,447,250m/11110_종로구.geojson,0.87
250,11140,중구,202,250m/11140_중구.geojson,0.42
250,11170,용산구,403,250m/11170_용산구.geojson,0.75
250,11200,성동구,315,250m/11200_성동구.geojson,0.59
250,11215,광진구,321,250m/11215_광진구.geojson,0.59
250,11230,동대문구,274,250m/11230_동대문구.geojson,0.53
250,11260,중랑구,340,250m/11260_중랑구.geojson,0.65
250,11290,성북구,473,250m/11290_성북구.geojson,0.92
250,11305,강북구,442,250m/11305_강북구.geojson,0.83
250,11320,도봉구,390,250m/11320_도봉구.geojson,0.74
250,11350,노원구,642,250m/11350_노원구.geojson,1.2
250,11380,은평구,556,250m/11380_은평구.geojson,1.05
250,11410,서대문구,338,250m/11410_서대문구.geojson,0.67
250,11440,마포구,450,250m/11440_마포구.geojson,0.84
250,11470,양천구,347,250m/11470_양천구.geojson,0.7
250,11500,강서구,761,250m/11500_강서구.geojson,1.46
250,11530,구로구,396,250m/11530_구로구.geojson,0.79
250,11545,금천구,255,250m/11545_금천구.geojson,0.5
250,11560,영등포구,457,250m/11560_영등포구.geojson,0.87
250,11590,동작구,315,250m/11590_동작구.geojson,0.61
250,11620,관악구,539,250m/11620_관악구.geojson,1.01
250,11650,서초구,858,250m/11650_서초구.geojson,1.58
250,11680,강남구,718,250m/11680_강남구.geojson,1.33
250,11710,송파구,617,250m/11710_송파구.geojson,1.16
250,11740,강동구,452,250m/11740_강동구.geojson,0.84
500,ALL,서울전체,3226,seoul_grid_500m.geojson,7.68
gu,ALL,서울전체,25,seoul_gu_level.geojson,1.21
