gu_code,gu_name,gu_anomaly_vs_seoul,gu_heat_rank,within_gu_anomaly_std,green_ratio,building_ratio
11230,동대문구,2.3459,1,2.4892,0.2526,0.2686
11590,동작구,1.6472,2,3.1871,0.3441,0.2166
11470,양천구,1.3482,3,2.8676,0.3264,0.2088
11530,구로구,1.2482,4,3.2546,0.343,0.2057
11545,금천구,0.9915,5,4.0362,0.3637,0.2386
11500,강서구,0.7945,6,4.4922,0.3598,0.1409
11710,송파구,0.7749,7,4.3729,0.3019,0.1739
11140,중구,0.7731,8,3.2572,0.2811,0.2899
11170,용산구,0.6354,9,5.69,0.2764,0.165
11200,성동구,0.293,10,4.5308,0.2601,0.1855
11560,영등포구,0.287,11,5.3533,0.257,0.1791
11215,광진구,0.1517,12,4.8832,0.3263,0.2193
11410,서대문구,-0.068,13,3.8096,0.3822,0.2023
11290,성북구,-0.2892,14,4.4425,0.3864,0.1895
11440,마포구,-0.4035,15,4.9623,0.2964,0.1699
11260,중랑구,-0.4621,16,4.2438,0.3831,0.2046
11740,강동구,-0.4795,17,4.3792,0.3284,0.1657
11680,강남구,-0.6905,18,3.794,0.3563,0.1685
11620,관악구,-1.1126,19,4.6371,0.5209,0.1567
11110,종로구,-1.7629,20,4.7667,0.4626,0.1516
11380,은평구,-1.8478,21,4.6545,0.4899,0.1562
11350,노원구,-2.4235,22,4.3986,0.5002,0.1004
11305,강북구,-2.5674,23,5.2866,0.54,0.1469
11320,도봉구,-2.5915,24,5.0928,0.4993,0.1368
11650,서초구,-2.9668,25,4.0374,0.4644,0.1079
